,index,rsq_adj,log_int_val,slope_pval,log_slope_pval,log_rsq,log_rsq_adj,log_slope_val,rsq,int_val,log_int_pval,int_pval,slope_val,subj_id
39,(wfpt.133),0.00021802235880963305,1.1252483466537548,5.867143962359979e-11,4.1754082071645504e-16,0.0003446300827866233,0.0003394212926851603,0.012953192058518689,0.00022322958373088841,0.17132389593956998,0.0,0.0,0.011388295519370008,s477
40,(wfpt.134),0.0007012281668634657,1.3069171535053115,1.6943389269022567e-35,5.497341014009603e-12,0.00021688682418641303,0.00021232139602445077,0.013624664833649894,0.0007057911957897289,0.7685861983967333,0.0,0.0,0.023493633945649066,s481
41,(wfpt.135),8.579344735193395e-06,1.1883780239518262,0.08927278836576401,7.284137673721087e-07,0.00011182625889516462,0.000107269340383076,0.007357354183406596,1.3124780944728798e-05,0.38113736849997054,0.0,0.0,0.0026053262866893166,s484
42,(wfpt.136),3.5305088283976716e-06,1.2991624274338145,0.18255507728481576,0.6595773970592598,8.820817801735714e-07,-3.6638440117364723e-06,0.0009418077275169089,8.075967987242194e-06,0.7148734828351526,0.0,0.0,0.0027499396045415022,s489
43,(wfpt.137),0.0026040688164091774,1.0874167917808695,2.862926772236671e-64,2.83590616648385e-84,0.0034773919960058297,0.0034682172647692022,0.0376535949025034,0.0026131775382347566,0.1996552890057654,0.0,0.0,0.03598680916100415,s492
44,(wfpt.138),0.003100833352391752,1.286022857156975,8.258928113137865e-150,4.657637185946991e-41,0.0008238980447210498,0.0008193247377731305,0.02903053263317679,0.0031053958408546745,0.7499167778629995,0.0,0.0,0.05184480088827836,s495
45,(wfpt.139),3.0278267994066077e-05,1.2777536908943854,0.00573747297095673,0.9811188153609487,2.557560274674131e-09,-4.563756727415935e-06,5.613302931162245e-05,3.484436063239116e-05,0.6134561974689982,0.0,0.0,0.006225175729479719,s500
46,(wfpt.14),0.0026742568818484136,1.2589597894643199,4.618466871697808e-130,1.7212588017503043e-22,0.00043364176908311514,0.00042908768704563727,0.02009695014247105,0.0026788005278016724,0.6073344049786222,0.0,0.0,0.04729580660163507,s049
47,(wfpt.140),7.618971122136386e-05,1.2517781634765521,2.553728773839541e-05,0.6471291014502436,9.554824466073697e-07,-3.6044351305886124e-06,-0.0008159795938728817,8.074519352552212e-05,0.5491109211024257,0.0,0.0,-0.007075645743355109,s501
48,(wfpt.141),0.0023662425253382358,1.2522480526678272,1.4168362767452578e-115,3.302518313747063e-16,0.000302772754513958,0.00029822826307268624,0.018644826289349554,0.0023707772448482434,0.588352382481625,0.0,0.0,0.046758794888485486,s502
49,(wfpt.142),0.0007351108887271307,1.277913117916392,4.041091290399017e-37,1.7518063750541742e-05,8.421501161182121e-05,7.964866483722854e-05,0.008662151128326452,0.0007396737629370431,0.6413586103964547,0.0,0.0,0.0250716190572869,s504
50,(wfpt.143),-2.2930529843812053e-06,1.2419240735767683,0.47844345025794877,0.9444169491259153,2.2403164767759165e-08,-4.586528842276394e-06,-0.00014829434669516237,2.3152737501641596e-06,0.5017740926869513,0.0,0.0,0.0014272946299708096,s505
51,(wfpt.144),1.0166131891198305e-05,1.2572976342180169,0.07201299088629241,0.14321243489502908,9.742923113509327e-06,5.196768937953955e-06,-0.0029082058828096818,1.4711560888058806e-05,0.5553349272528888,0.0,0.0,-0.0035082993563627647,s507
52,(wfpt.145),3.9920972429663415e-05,1.2791785305599666,0.001761628915837233,0.9502672699636525,1.7684515074556373e-08,-4.5282658718281965e-06,-0.00013371229769501385,4.446626617660154e-05,0.6281966394469307,0.0,0.0,0.006390295435685046,s508
53,(wfpt.146),3.316442059309033e-05,1.2775562327293142,0.0040092439936527235,0.9930805226698852,3.4266478543543144e-10,-4.555735825695351e-06,1.8335054199111744e-05,3.772009891311878e-05,0.6144571096984884,0.0,0.0,0.005901200980758773,s509
54,(wfpt.147),0.00013027102205631635,1.2527863599716036,5.1455494858200255e-08,0.03110476733818963,2.1123810025502898e-05,1.6578348191353953e-05,0.0049691593895067505,0.00013481590511932318,0.5397184583863436,0.0,0.0,0.011715514472700413,s510
55,(wfpt.148),4.83948421403646e-06,1.2422984036965077,0.15074731487699075,0.5841736840967129,1.3615401469602162e-06,-3.1839495322483202e-06,-0.0012907568896619072,9.38493742297375e-06,0.47773246893319615,0.0,0.0,0.0032417638511941234,s551
56,(wfpt.149),-4.33455475645772e-06,1.2338585646116802,0.8144560239374382,0.1373616572658385,1.0192478599124755e-05,5.574825095000513e-06,0.0023711726923467662,2.5264213221465326e-07,0.5695720659717511,0.0,0.0,0.000350046409545968,s556
57,(wfpt.15),0.0001235917166914069,1.273815711106065,1.098835548102311e-07,0.8275276967711642,2.1577483177992463e-07,-4.329823365623042e-06,0.00048105698485285606,0.00012813663011501664,0.5999774234519111,0.0,0.0,0.011400532532100516,s060
58,(wfpt.16),4.3677091866589635e-06,1.2713855712311526,0.16448602758043845,0.025584611699627894,2.336962075710769e-05,1.8680640444745933e-05,-0.003962447279327694,9.051551416838777e-06,0.6098891867103937,0.0,0.0,-0.002328086612509884,s062
59,(wfpt.17),2.740164351755503e-06,1.2632779152195932,0.20745124274949522,0.03458842927827799,2.077367193609181e-05,1.6121567157800776e-05,-0.004467622601028705,7.391336030782014e-06,0.5702797198106601,0.0,0.0,-0.0026476390115404034,s063
60,(wfpt.18),0.0005365647600911183,1.0677031992307633,1.5075779795253335e-23,1.9877952658251244e-23,0.0005398928134636716,0.0005344668039130029,0.018957190291717465,0.00054198193544297,0.06557103151893301,0.0,0.0,0.020591588635265865,s065
61,(wfpt.19),2.3621274446328222e-05,1.206257736152058,0.013145408975629621,4.4316489666247295e-05,7.691894410333244e-05,7.230683786429992e-05,0.006854089580110058,2.8208343096691735e-05,0.49071363877414925,0.0,0.0,0.003950523878325516,s066
62,(wfpt.2),0.0008462641727764453,1.263677543454087,1.563055076508539e-42,1.4601804558087367e-05,8.559846109779112e-05,8.104285562171576e-05,0.008946147813236768,0.0008508161467526421,0.5867393916168788,0.0,0.0,0.02741369816142345,s009
63,(wfpt.20),-2.2994171078316583e-06,1.1610080118705821,0.4146480413848467,0.2623125331901382,8.759096707389169e-06,1.7881848978218429e-06,0.0026659110173627176,4.573498165960643e-06,0.4592124537536524,0.0,0.0,-0.0016585681238220002,s071
64,(wfpt.21),0.022446593157126937,1.1954885061184006,0.0,0.0,0.009881888938353733,0.00987735694533376,0.09287455705782616,0.02245106710623812,0.6658500060156726,0.0,0.0,0.12237526912621925,s081
65,(wfpt.22),0.0081895299374386,1.2120102665043542,0.0,0.0,0.006654605636339905,0.006650048922481111,0.08085319675168251,0.008194079547620525,0.6913909894970787,0.0,0.0,0.08192809751231374,s082
66,(wfpt.23),5.3492730065496374e-06,1.0586581117917317,0.14306025520477864,0.12109436223719129,1.141729647635703e-05,6.666282918232902e-06,0.0022497103732984033,1.0022167042267327e-05,0.06752178472488893,0.0,1.0486485917846327e-213,0.002312391130217465,s083
67,(wfpt.24),0.00023973854136705164,1.0891189825166352,3.2867734485917786e-13,1.638909175298052e-26,0.0005235392413140971,0.0005189296203276239,0.01900009165117572,0.0002443457527434578,0.13336380606921672,0.0,0.0,0.013966767749255832,s084
68,(wfpt.25),0.0020375269334069745,1.247670819723709,1.3918009852225683e-99,8.69773096972113e-23,0.000439785871760745,0.0004352319214565581,0.021665801377236896,0.0020420734801932516,0.5756375235863156,0.0,0.0,0.043923875303270535,s085
69,(wfpt.26),-3.293253036940058e-06,1.281614292678838,0.5827343073611742,0.054874203818440805,1.7417698116251046e-05,1.2692262152724787e-05,-0.002961826952358481,1.4237658794158392e-06,0.6524913247741335,0.0,0.0,0.0008631135039582117,s086
70,(wfpt.27),3.793151940456596e-05,1.2779779852559172,0.0024290733617542476,7.660444346364723e-05,7.242847859989521e-05,6.779776934828785e-05,0.008749807270424119,4.256099485799858e-05,0.6949302764067845,0.0,0.0,0.00655502737340152,s089
71,(wfpt.28),7.560130275030552e-05,1.2338308535838696,2.67938374995214e-05,0.13958385900721199,9.920838692001333e-06,5.375325934031672e-06,0.003111295405475188,8.014643431319968e-05,0.4711960316374524,0.0,0.0,0.00870545798046905,s091
72,(wfpt.29),4.490116148292422e-05,1.219493448324575,0.0009968228094640475,4.476416176396518e-09,0.00015711578858401687,0.00015254946192977403,0.012192291320479921,4.946718734977207e-05,0.492326689988566,0.0,0.0,0.00683896459422244,s092
73,(wfpt.3),0.001006037933379167,1.2319289256389716,3.424095993165104e-50,8.95749832323002e-16,0.00029448111396424004,0.0002899266054089411,0.018773913231340773,0.0010105891794534028,0.5030836357301007,0.0,0.0,0.03290383993894811,s011
74,(wfpt.30),-3.7327652462337824e-06,1.308763183069901,0.6321251537322994,0.39272376410430143,3.540322582540334e-06,-1.306147767499155e-06,-0.00192233558753284,1.1098912932050453e-06,0.7767496376047156,0.0,0.0,0.0009664596498471741,s093
75,(wfpt.31),0.007176786379638478,1.2466346562031045,0.0,2.164503087369652e-86,0.0017667925140197882,0.0017622439256325118,0.03750433028175388,0.007181309512835465,0.6293053864874891,0.0,0.0,0.07351376706904786,s094
76,(wfpt.32),0.0006192687024609844,1.259277985529648,1.6723696118295928e-31,3.065224121983443e-10,0.0001813713870022493,0.00017679549521143478,0.014896108203518868,0.0006238425482510968,0.5916558134729348,0.0,0.0,0.025824923788944923,s097
77,(wfpt.33),2.806780242581297e-05,1.2366918299354521,0.007809314423126685,0.019000379087099527,2.5489022980829112e-05,2.0855972219901986e-05,0.003894111966426378,3.2686631760925344e-05,0.5400023438967898,0.0,0.0,0.004118909377714825,s098
78,(wfpt.34),2.6268021997566393e-06,1.2640869072099252,0.2102061931239797,0.004398975081114114,3.738389760887806e-05,3.27751377983132e-05,0.005922448952261709,7.2351062621045514e-06,0.6152569256144915,0.0,0.0,0.00261004843463464,s103
