,index,log_rsq_adj,slope_val,log_rsq,log_slope_val,log_int_val,log_int_pval,slope_pval,log_slope_pval,rsq_adj,int_val,int_pval,rsq,subj_id
84,(wfpt.4),0.0006283804630105028,0.040551592208164,0.0006498727879966637,0.030365493015687996,1.2852644283115744,0.0,5.456416488013747e-19,3.842657550213445e-08,0.0016815980563419375,0.7513435794565646,0.0,0.001703067731000374,s012
85,(wfpt.40),-1.4862072577948027e-05,-0.004957129191847905,6.19131511592208e-06,0.002815401078025196,1.2746179803638202,0.0,0.3229460295332045,0.5876222642667698,-4.842560379358929e-07,0.6281344096665228,0.0,2.0568828958733576e-05,s121
86,(wfpt.41),0.00010036332788387892,-0.003014178523268858,0.00012119543831901058,-0.010823660407827198,1.287284821431568,0.0,0.48629601393618804,0.01586920248123209,-1.073536434170741e-05,0.5890719581013605,0.0,1.0098626686438905e-05,s128
87,(wfpt.42),3.44984369513579e-05,0.016548209921053457,5.555078545482761e-05,0.0068527336455337234,1.2886124824220917,0.0,7.096072494210478e-05,0.10429562988420214,0.0003112327530849779,0.6736404350668699,0.0,0.0003322792754801851,s129
88,(wfpt.43),0.0017896121531798537,0.05957225256025237,0.0018106275511429182,0.050859508733214376,1.2160271546178665,0.0,1.4471483848109573e-32,1.7295609735411747e-20,0.002947603079278771,0.572666268912187,0.0,0.0029685940979723435,s142
89,(wfpt.44),-8.95984979853992e-06,-0.009531060914147578,1.2322823278121398e-05,0.003575044972799343,1.2365488815571353,0.0,0.031198874725746714,0.4467055057631054,7.74906394602759e-05,0.5270020165370995,0.0,9.876603913605564e-05,s145
90,(wfpt.45),0.0065678620477346294,0.060638996334213185,0.006588558981794668,0.06309473562793311,1.2517387771504085,0.0,6.078633673337912e-70,5.665341693575265e-71,0.006469935601290944,0.7580038862354648,0.0,0.006490634575527787,s149
91,(wfpt.46),-2.126473488028857e-05,0.005262816580456472,1.3218750427590464e-08,0.00011403277377613347,1.3079734473414455,0.0,0.2257879130142645,0.980115116376671,9.941368076527013e-06,0.7274763011887833,0.0,3.1218205001404264e-05,s161
92,(wfpt.47),-1.7001461667387474e-05,-0.0009915075560933732,5.474366023716648e-06,-0.003408470539756174,1.390066592719649,0.0,0.8606591027184841,0.6216441867420494,-2.1780447666985836e-05,1.0665611534069905,0.0,6.924569027066951e-07,s163
93,(wfpt.48),0.006184158412268714,0.10757198686312826,0.0062048633403209985,0.10829302668677862,1.2006887873092753,0.0,1.0702606876689057e-102,6.180684111869802e-67,0.009579282567810155,0.7653831495570467,0.0,0.009599916762635607,s165
94,(wfpt.49),0.0010319709809273325,0.05582395173341599,0.0010527832484540367,0.0430822443534066,1.2179565844327698,0.0,3.2269649055576414e-25,1.157192820555616e-12,0.0022192676191987726,0.5456587155101509,0.0,0.0022400551508635624,s168
95,(wfpt.5),0.0007701844970701144,0.03616039059472212,0.0007910022185955157,0.02595942279844239,1.265375601401101,0.0,1.0692373685043441e-19,7.143134641788067e-10,0.0016960798938564503,0.6537385799228725,0.0,0.001716878325492499,s014
96,(wfpt.50),-1.6501827211579112e-05,0.010054910118693675,4.5564717656709774e-06,-0.0021120106206338318,1.3108492805649654,0.0,0.014747340932400108,0.6418187563206996,0.00010413532067299336,0.7293261786225078,0.0,0.00012518620310597584,s170
97,(wfpt.51),7.373409054234337e-05,0.012752413573137415,9.456632175353086e-05,0.009876599005337439,1.262696494421022,0.0,0.0036410650703120506,0.033127812522066376,0.00015530217096448862,0.5837728535423419,0.0,0.00017613270280525395,s173
98,(wfpt.52),3.521783370707965e-05,0.00839446739204048,5.627016706499788e-05,0.00861078012270941,1.2684744027725177,0.0,0.08702935675664246,0.10207838400035624,4.060135000505394e-05,0.6063125953293553,0.0,6.165357002341221e-05,s179
99,(wfpt.53),0.0001381571335410392,-0.00031026011798299005,0.0001594362227310686,0.01238516473822315,1.2582630355918112,0.0,0.9450974839706385,0.006197549996700499,-2.117659327716126e-05,0.6333181210462303,0.0,1.009057462031393e-07,s180
100,(wfpt.54),-5.113770674247675e-06,-0.0027157104315711058,1.616927350434061e-05,0.004200143989562409,1.277750745291448,0.0,0.5490760750491998,0.38341886281067317,-1.3639196688064459e-05,0.6663840330316075,0.0,7.638141961696654e-06,s182
