,index,log_slope_val,slope_val,log_slope_pval,log_rsq_adj,rsq,slope_pval,int_pval,rsq_adj,log_int_val,int_val,log_rsq,log_int_pval,subj_id
57,(wfpt.20),0.012814830253874362,0.012505640594495413,3.1293047586536726e-06,9.944757301183493e-05,0.00012294739013685163,4.123185582378065e-07,0.0,0.00011815177074192551,1.2528790274358088,0.5539146866647358,0.000104243282115557,0.0,s071
58,(wfpt.21),0.029073128786727895,0.028208663206063883,1.4052244026221673e-18,0.00036368680845910717,0.0004791409018036763,1.1017783762793871e-23,0.0,0.00047438123333498616,1.2237240574921031,0.5165992967950672,0.00036844700404659037,0.0,s081
59,(wfpt.22),-0.0009041592484053309,-0.002715650276626908,0.6850952068981427,-4.0367964588838845e-06,1.0791304074220243e-05,0.13502272252066802,0.0,5.9603916562345205e-06,1.247136361876339,0.5058656902167817,7.944910102031244e-07,0.0,s082
60,(wfpt.23),0.03332980440542707,0.03646188387567249,4.4384422426544794e-55,0.0011664578012791083,0.0017123324642066562,1.0776738564165865e-79,0.0,0.0017075444678348317,1.2634922891554883,0.6730671573582205,0.001171248392803248,0.0,s083
61,(wfpt.24),0.0023413478996622797,-0.0003902521209695974,0.38145854292487225,-1.122317252466587e-06,1.3139230170544636e-07,0.8685392311129585,0.0,-4.664816144472894e-06,1.2675297947568436,0.585452278351827,3.6738972069016995e-06,0.0,s084
62,(wfpt.25),-0.0054131186383943215,-0.005937813453334789,0.048463545299993714,1.3946302627410034e-05,2.741581943366267e-05,0.017073603999839156,0.0,2.259662799963813e-05,1.2786371001110393,0.5901640956051196,1.876553574997608e-05,0.0,s085
63,(wfpt.26),0.2211314893103391,0.21201439617520146,0.0,0.030928042179025894,0.03451023027669653,0.0,0.0,0.03450563266257778,0.9868151381504962,0.43755190455909376,0.030932656829370964,0.0,s086
64,(wfpt.27),-0.009646470765866222,-0.00601991631292429,0.00224046547389792,4.0005937015918924e-05,2.267709029668552e-05,0.029672435808713333,0.0,1.788098998445342e-05,1.2580791335760226,0.4888676742596281,4.4801931212812285e-05,0.0,s089
65,(wfpt.28),0.020088411430806703,0.017564868725257206,1.3239811160382697e-07,0.0001286784138067043,0.00013653295035631619,9.522445688786779e-08,0.0,0.00013173739612060142,1.2304994145570778,0.50640172119906,0.00013347398271390531,0.0,s091
66,(wfpt.29),0.0007261382008372994,0.0006497646479467754,0.8110153795525356,-4.48967599808725e-06,2.509916660065059e-07,0.8184170450690496,0.0,-4.510957252623626e-06,1.2251889943370293,0.41435049521052747,2.7227281917951984e-07,0.0,s092
