,index,rsq,log_slope_pval,log_rsq_adj,rsq_adj,log_rsq,log_slope_val,log_int_val,slope_pval,log_int_pval,slope_val,int_pval,int_val,subj_id
37,(wfpt.131),5.29758881064879e-05,0.12929794741149486,3.6656410834723374e-05,2.480677930838393e-05,6.483153533354269e-05,0.007546116162650229,1.3225928321461495,0.17027035457514098,0.0,0.007038929584566607,0.0,0.8658745604316158,s471
38,(wfpt.132),5.824735910264778e-07,0.15024400768286245,3.058142031775457e-05,-2.7990571083824634e-05,5.916585900456184e-05,0.00859448149069509,1.3483815618968062,0.8864667069064801,0.0,-0.0007571862871228172,0.0,0.9774967191444237,s473
39,(wfpt.133),6.432988027937903e-06,0.3891373030148394,-7.278833967561127e-06,-2.1737431911583727e-05,2.0895940743836938e-05,0.005442970313598602,1.2134229085325055,0.6327457213367182,0.0,0.0027779025660072715,0.0,0.4977868161069531,s477
40,(wfpt.134),0.0002641449947715646,0.9787590735557321,-2.8568315132426747e-05,0.0002359818347341669,2.026600853799465e-08,0.00012094537842322756,1.336493402796255,0.0021963789581199078,0.0,-0.025500551134153948,0.0,0.7718840617937646,s481
41,(wfpt.135),1.1492773993593275e-06,0.08197312067579555,5.715484966184459e-05,-2.6630011747963422e-05,8.537232984207055e-05,0.009138207071907104,1.2930640611106636,0.8388232125700089,0.0,0.001399184494339362,0.0,0.7412812408080338,s484
42,(wfpt.136),5.338091596174266e-05,0.029202912803769472,0.00010782657434049714,2.480937990001486e-05,0.00013653435996863195,-0.013371411340988319,1.333290300721516,0.171675819105814,0.0,-0.007250197489513102,0.0,1.0356892377458338,s489
43,(wfpt.137),0.00014118288915643262,0.24247589593435456,1.0316771514196077e-05,0.00011301626520265895,3.8490256701328995e-05,0.006234203327098097,1.338208637533413,0.02517230560411655,0.0,0.010757964416674214,0.0,0.8745911224526464,s492
44,(wfpt.138),1.6072160131663793e-06,0.6546728485871095,-2.2554279584863224e-05,-2.6563339871277236e-05,5.640785101124202e-06,-0.0018718541067135573,1.4797801610617483,0.8112172327710014,0.0,0.0009948262575127937,0.0,1.4326054638957797,s495
45,(wfpt.139),7.838513721014628e-05,3.2458418164973205e-09,0.0009600522749823037,5.0607993622553415e-05,0.0009882490503406727,0.029532523522601026,1.2877516658376882,0.09299324987901798,0.0,0.01134866551256625,0.0,0.8028217824870945,s500
46,(wfpt.14),1.6883478020979226e-05,0.6927048030466232,-3.1857845816718466e-05,-2.0155677343147715e-05,5.896301640384571e-06,0.0017685518503790555,1.3770828085167195,0.4995861042700589,0.0,0.006657693123974024,0.0,0.87186838893445,s049
