,index,slope_val,slope_pval,rsq_adj,rsq,int_val,int_pval,log_int_val,log_rsq_adj,log_int_pval,log_slope_val,log_slope_pval,log_rsq,subj_id
66,(wfpt.22),0.0606722625207278,1.7309483392073913e-73,0.00680681190361121,0.006827503859445527,0.6111059656134876,0.0,1.2135897174044428,0.006918368260405372,0.0,0.06251556176264006,1.158885360091016e-74,0.006939057892100475,s082
67,(wfpt.23),-0.002645096524891801,0.6139100242720124,-1.5694815352018665e-05,5.358589873827313e-06,0.5277129630319541,0.0,1.2586204468647575,-7.796848595198469e-06,0.0,-0.004428628886416534,0.427483881453525,1.3256390353988401e-05,s083
68,(wfpt.24),0.13041263764634556,1.4850079833890103e-229,0.021544548718743783,0.02156493363199774,0.5743223409339183,0.0,1.1286090977565928,0.016124067393906705,0.0,0.12887228982448626,6.581154179377827e-172,0.016144565663263832,s084
69,(wfpt.25),0.05269741608655741,4.903832400227337e-34,0.003056606079383295,0.00307737616613335,0.5383269984754718,0.0,1.2078176383550767,0.0030004904988429892,0.0,0.05007937278730008,1.9104149630408728e-33,0.003021261754691973,s085
70,(wfpt.26),0.023735736218899676,5.71497976725114e-07,0.0005052905116782469,0.0005263329485609702,0.8222657523545223,0.0,1.3273803641377317,2.2126303763636557e-05,0.0,0.009320208344818816,0.15211277912462542,4.3178912738528474e-05,s086
71,(wfpt.27),-0.0013836502280272687,0.7666509832605134,-1.9199371864342396e-05,1.854107143040018e-06,0.7638640567617302,0.0,1.3136635081803267,-2.0763859086558867e-05,0.0,-0.000548314589206839,0.9062773832281755,2.9186929717539556e-07,s089
72,(wfpt.28),0.04938193442316354,6.39546507824201e-31,0.002760645981619514,0.0027814222343334194,0.48087234849504223,0.0,1.1986609053584978,0.0016991820117574497,0.0,0.043496228883351806,9.915255230906602e-20,0.0017199803787647516,s091
73,(wfpt.29),0.012612387002519862,0.003744147722014448,0.00015586829344993447,0.0001769180867446929,0.7095017980758569,0.0,1.3043733175699592,-2.394076307865589e-06,0.0,0.004401544283440454,0.3464910757277708,1.8659048896529917e-05,s092
74,(wfpt.3),0.00046892898249129965,0.9275494284424362,-2.0879442356847022e-05,1.74072021352778e-07,0.5918091803953245,0.0,1.2799376780545355,-2.3835180320563865e-06,0.0,-0.00554161901331552,0.34635467255859775,1.8669606949961448e-05,s011
75,(wfpt.30),0.056104849709468385,7.398510019861418e-44,0.004074891243419865,0.004096081590209355,0.6622337545359491,0.0,1.2381614348526093,0.0038497752704782506,0.0,0.05324408608805786,1.5411612766789986e-41,0.0038709704070711837,s093
