,index,rsq_adj,slope_val,int_pval,log_slope_pval,log_int_pval,int_val,log_slope_val,slope_pval,log_int_val,log_rsq_adj,log_rsq,rsq,subj_id,sub_id
0,wfpt,-4.368229704843074e-06,0.0030001374642659034,0.0,0.4280573371273094,0.0,0.4362110421899138,0.0032639056279035114,0.42783240142707113,1.229229756069196,-4.375429405012454e-06,7.38946636336113e-06,7.396665978931516e-06,0,s173
0,wfpt,4.1805661668004035e-05,0.009589228590321144,0.0,0.03173086455697939,0.0,0.4106491721172542,0.01039640687506159,0.03285269355212655,1.2149174006630123,4.250612090250794e-05,5.427046511685685e-05,5.357001412309437e-05,0,s179
0,wfpt,-9.120633473136408e-06,-0.0016354407010455317,0.0,0.677817623858189,0.0,0.501755875870316,-0.0014421352636758908,0.6354361815599038,1.250952607898899,-9.734396476224205e-06,2.030562339605524e-06,2.6443181219137912e-06,0,s180
0,wfpt,-1.0981658072450884e-05,0.0008806315973735289,0.0,0.852818051371956,0.0,0.5208863560175431,0.0006364754978065885,0.7963831601547213,1.252694630323607,-1.136003484725201e-05,4.049430939456755e-07,7.833154171965617e-07,0,s182
0,wfpt,-2.2044458043435355e-06,0.003867476120170213,0.0,0.4697853060132211,0.0,0.35988758188322073,0.003286301129774155,0.36734794060480924,1.207653363530889,-5.617914116129441e-06,6.146996269995597e-06,9.560424422794256e-06,0,s184
0,wfpt,6.275076608552865e-06,0.005189543577237506,0.0,0.18384502194944666,0.0,0.43472477126261677,0.006518547397628992,0.2156095069547374,1.2244498218526498,9.015242344534435e-06,2.0779980573815138e-05,1.8039847075490556e-05,0,s187
0,wfpt,2.290281952044282e-05,0.00772877170129223,0.0,0.1070196948228635,0.0,0.464000266913852,0.006363918855975245,0.08666571098843891,1.2345627899821938,1.8908077776380594e-05,3.074231358879409e-05,3.473700805722846e-05,0,s190
0,wfpt,-1.058214385940559e-05,0.001253819457536342,0.0,0.7500773221861077,0.0,0.466049828154257,0.0012057710055743739,0.7511858973379788,1.2412943451687732,-1.0571215656840494e-05,1.1937530040029287e-06,1.182824930001658e-06,0,s192
0,wfpt,-8.540833104531131e-06,0.0019368514809031388,0.0,0.5925459618184978,0.0,0.515593451462687,0.0019488479496645589,0.6006332462036227,1.254457216771372,-8.395604999433814e-06,3.3693380657728866e-06,3.2241116691977822e-06,0,s196
0,wfpt,1.7565975792721567e-05,0.006757578151055,0.0,0.07839051175068934,0.0,0.4907949887469587,0.008061738218750204,0.1143488137215477,1.2395988776429785,2.4682431426059637e-05,3.644698533333823e-05,2.933061342391685e-05,0,s198
0,wfpt,-1.1463781545817398e-05,0.000613549870940954,0.0,0.7049692402405835,0.0,0.3927131665883423,0.0014859076527744645,0.872878493943307,1.2191871008547492,-1.0078397638224601e-05,1.6865652247011198e-06,3.011976159594809e-07,0,s205
0,wfpt,-1.1822419684337504e-05,-0.00012013531348832097,0.0,0.8495897615880458,0.0,0.5976596016199514,0.0006575244719127498,0.9744077946185385,1.2723841002061995,-1.1408972092397107e-05,4.25622506017298e-07,1.2179806940793014e-08,0,s206
0,wfpt,-9.993063527558022e-06,-0.0013921758093847162,0.0,0.6035344599223255,0.0,0.4705590491374164,-0.0019153995652317068,0.6979559020693396,1.246006835560661,-8.59193999080965e-06,3.1730053842160544e-06,1.7718983313930181e-06,0,s207
0,wfpt,-8.283247277196537e-06,-0.0023219493529300244,0.0,0.46792524674196523,0.0,0.4392315188936119,-0.003270027824237038,0.5864415736765707,1.2376275915243573,-5.566261869205391e-06,6.198647909183563e-06,3.481694466178631e-06,0,s209
0,wfpt,-8.75181501336364e-06,0.0019867332741675594,0.0,0.6262964350621917,0.0,0.45704460454200135,0.0019766016889891033,0.6128059503032327,1.2364079818130422,-8.97526428467188e-06,2.78968560007975e-06,3.01313224249089e-06,0,s212
0,wfpt,2.6283620814582243e-05,-0.0058039375607377396,0.0,0.05365824108051741,0.0,0.5476422670778748,-0.006698927675257663,0.0721216959678053,1.272625402757071,3.203938452100985e-05,4.380385187485736e-05,3.8048155884040646e-05,0,s216
0,wfpt,-1.1678398468717432e-05,0.00038785125029454446,0.0,0.9256510578966461,0.0,0.4576650644656276,-0.00046364680692740495,0.9316359813764259,1.2391489306179029,-1.1662528847988796e-05,1.0245265213981725e-07,8.658321803967084e-08,0,s218
0,wfpt,8.235318510130263e-06,0.004854622789042603,0.0,0.2662817017913543,0.0,0.35063984792836,0.0041496598099011045,0.1922915601335411,1.2041838419401139,2.7743540246261134e-06,1.4539165676952237e-05,2.0000065915071197e-05,0,s226
0,wfpt,-1.0403102870704117e-05,0.001496439434197425,0.0,0.9297394557545702,0.0,0.556461355350372,0.0004802248585731757,0.7336848266915661,1.2664864697492464,-1.1673515226018338e-05,9.146640334023459e-08,1.3618638122769866e-06,0,s233
0,wfpt,-1.1731076062115875e-05,-0.0002441012973108097,0.0,0.9524793157702459,0.0,0.36986400862696867,0.00028478939008277915,0.9571871224822671,1.2138842792664335,-1.1723199842883503e-05,4.178237089647041e-08,3.390624436772072e-08,0,s237
